industry,male,female,nonbinary,unspecified
Financial Services,0.893380558476666,0.10461406017304571,4.68729571551596e-05,0.001958508393133086
Lending and Investments,0.8963267698123538,0.10130579639172174,0.0,0.0023674337959245155
Real Estate,0.8877266060860259,0.11037828464280855,5.6570426004939965e-05,0.0018385388451605488
Commerce and Shopping,0.8175641651732501,0.18052120613598785,6.651315551033663e-05,0.0018481155352514957
Payments,0.9160589810019303,0.08163499014447186,0.0002823708800323784,0.002023657973565379
Software,0.8999037759023997,0.09837944713429599,0.00010653882849433815,0.0016102381348099793
Mobile,0.9029972840382234,0.09556863308568295,0.00010251585293759182,0.0013315670231560538
Artificial Intelligence,0.8947758485427183,0.1039245619786038,0.00021941121068587787,0.0010801782679920142
Data and Analytics,0.8997996380570171,0.09842654433819689,0.00018071264949493068,0.0015931049552911566
Hardware,0.9141868261010001,0.08408870124739992,7.610079145278934e-05,0.001648371860147211
Information Technology,0.9056375902579771,0.09279536946573526,5.508880039179151e-05,0.001511951475895855
Science and Engineering,0.8904504370052523,0.10737237871448303,8.690909614157966e-05,0.002090275184123121
Other,0.8437542144378775,0.15460653845518993,0.00012964168684001046,0.001509605420092566
Apps,0.8828776250656123,0.11538271973000351,5.057137222047107e-05,0.0016890838321637336
Internet Services,0.88920430220459,0.10914168626321141,0.00015461153806667458,0.0014993999941318907
Media and Entertainment,0.8590635413546074,0.1394272599170953,0.00021291774400189841,0.0012962809842953014
Privacy and Security,0.9288297879149271,0.06987990877419051,5.97362643927062e-05,0.0012305670464897477
Administrative Services,0.8218530860533872,0.17630600425662524,0.0,0.0018409096899874061
Professional Services,0.8410610881892784,0.1566618457952148,0.00020251301778992476,0.002074552997717027
Gaming,0.917506636993581,0.08036128683415408,0.0,0.0021320761722647933
Sales and Marketing,0.8634011608574743,0.1350933780198042,0.00011951007697587134,0.0013859510457456914
Content and Publishing,0.8638089763615243,0.1337067140150446,0.0004193968579774217,0.0020649127654535407
Messaging and Telecommunications,0.918307202435068,0.07955723185357517,0.0,0.0021355657113569402
Consumer Electronics,0.9150275424077158,0.0831255565007509,2.7807795606522765e-05,0.0018190932959266974
Health Care,0.8250642362899866,0.17271100794476235,6.24736408338821e-05,0.0021622821244171413
Community and Lifestyle,0.7301076906865366,0.2679356414632418,0.00042116617403873194,0.001535501676182877
Food and Beverage,0.8045780361927778,0.19399891766821373,1.8642525838540793e-05,0.0014044036131700731
Video,0.8952139658799878,0.10366721559237739,0.0002165455214777064,0.00090227300615711
Design,0.7864449376988494,0.21124590604545906,0.00015037920623171434,0.0021587770494597217
Education,0.7737356872634963,0.22503441511556213,0.0003570670512411054,0.0008728305697004799
Travel and Tourism,0.8509565170404412,0.146967751033418,0.00041514638522816916,0.0016605855409126766
Transportation,0.9101168952369563,0.08739401645824926,0.0002274623777227246,0.002261625927071662
Consumer Goods,0.6981129242807892,0.3001376812788248,0.0,0.0017493944403860209
Manufacturing,0.897490063056806,0.10047695453614278,0.0,0.0020329824070511697
Sports,0.8645953252532047,0.13301168039943598,0.0,0.002392994347359297
Biotechnology,0.8735341761240506,0.123333567397026,0.00012203596671130036,0.0030102205122120754
Platforms,0.9280413374901564,0.06993968411291249,0.0,0.0020189783969311536
Music and Audio,0.8980277891414408,0.10101011734306967,0.0,0.0009620935154897061
Energy,0.9286956222192407,0.06775080771197226,0.0,0.003553570068786963
Sustainability,0.8739987403616972,0.12360461980858606,0.0,0.0023966398297167093
Government and Military,0.8583290593335235,0.13986805605109176,0.0,0.0018028846153846153
Navigation and Mapping,0.9029939173710405,0.09551645921027387,0.00013542031078961323,0.0013542031078961324
Advertising,0.866091148085578,0.1324063905788858,0.00020257905647679016,0.0012998822790594034
Agriculture and Farming,0.8531696880981872,0.14471906316856203,8.444994933003038e-05,0.002026798783920729
Natural Resources,0.9260405909612202,0.06923711618397223,0.0,0.004722292854807657
Clothing and Apparel,0.6282096926956741,0.3692874449883796,0.00015975716910296355,0.0023431051468434656
Events,0.8036896569713078,0.1944877733311132,0.0,0.0018225696975791258
