,male,female,non-binary,unspecified,diversity
Alabama,13.075715935130956,2.023858915604488,0.0,0.03968350814910761,2.0635424237535958
Alaska,11.46486904799276,3.4121634071407025,0.0,0.0,3.4121634071407025
Arizona,37.73887775077388,5.620976329230341,0.0,0.027486436817752282,5.648462766048094
Arkansas,13.54972799747248,1.9498389069533568,0.0,0.0,1.9498389069533568
California,181.62826308769934,26.591680540180658,0.017839923689981274,0.30073014220254146,26.91025060607318
Colorado,101.11717531226832,16.156036688483912,0.017205576878044634,0.13764461502435707,16.310886880386313
Connecticut,50.47707772110971,6.434440676537061,0.0,0.1386732904426091,6.573113966979671
Delaware,184.3760713744688,21.626814858518774,0.0,0.1993254825669933,21.826140341085768
District of Columbia,304.3056488321767,68.05462278934408,0.0,0.7462129691814043,68.80083575852548
Florida,42.56896153403992,6.1337502814362965,0.0,0.06886695675265303,6.2026172381889495
Georgia,43.53878665124135,6.074318171674676,0.0,0.13889447038890265,6.21321264206358
Hawaii,19.631605636421277,3.260372667532862,0.0,0.06936963122410345,3.3297422987569654
Idaho,26.671253911915425,3.366785503673742,0.0,0.0,3.366785503673742
Illinois,57.67287123537137,9.335934136760308,0.0,0.039458724162131475,9.375392860922439
Indiana,21.863110189046846,3.056133682339882,0.0,0.0881577023751889,3.144291384715071
Iowa,17.068165241135596,2.4427832822175715,0.0,0.03131773438740476,2.474101016604976
Kansas,21.16144650243203,2.794265077615824,0.0,0.034076403385558826,2.8283414810013827
Kentucky,17.43027998884107,2.3506484463322566,0.0,0.0,2.3506484463322566
Louisiana,13.494672523873568,1.9679730763982286,0.0,0.021626077762617896,1.9895991541608464
Maine,27.035949067478377,5.684107890197611,0.0,0.07287317807945655,5.756981068277067
Maryland,45.36806934615642,6.974712126867094,0.0,0.06488104304062413,7.039593169907718
Massachusetts,167.8949902522978,23.2221091659612,0.0,0.37224096073673935,23.59435012669794
Michigan,24.485586287514508,3.3629127042583926,0.0,0.00994944587058696,3.3728621501289795
Minnesota,39.12471374831578,5.606765964828056,0.0,0.17521143640087675,5.781977401228933
Mississippi,5.762780236375686,0.9491638036383483,0.0,0.0,0.9491638036383483
Missouri,27.49592384277584,4.993363528051273,0.0,0.06484887698767887,5.058212405038952
Montana,26.89557182974107,4.165644121778078,0.0,0.09055748090821909,4.256201602686297
Nebraska,25.92056188037635,3.921185196049075,0.0,0.0509244830655724,3.9721096791146473
Nevada,52.640099796723334,7.061088915330864,0.031806706825814705,0.1590335341290735,7.251929156285753
New Hampshire,44.49269686218495,5.111620513293093,0.0,0.0,5.111620513293093
New Jersey,40.23899524448238,4.640055766995823,0.010790827365106564,0.10790827365106564,4.758754868011995
New Mexico,18.526596772874793,3.119273946453409,0.0,0.04726172646141529,3.1665356729148244
New York,138.2290797504506,25.937802812504774,0.040330888726926764,0.19661308254376797,26.17474678377547
North Carolina,34.64073435703101,4.7862026950207,0.009477629099050892,0.13268680738671249,4.928367131506464
North Dakota,16.001073620423565,2.3227364932872914,0.0,0.0,2.3227364932872914
Ohio,26.477041586612312,3.5229151197320006,0.0,0.05942266467017832,3.582337784402179
Oklahoma,14.247590514215107,1.856200172626616,0.0,0.02508378611657589,1.8812839587431918
Oregon,55.108680676988946,10.07970740587661,0.0,0.0706521547140884,10.150359560590699
Pennsylvania,36.97145399557052,5.114140204269405,0.0,0.13113180010947192,5.245272004378877
Rhode Island,36.4180684732706,7.21059501099844,0.0,0.0912733545696005,7.3018683655680405
South Carolina,18.224884673661865,2.909046073702898,0.0,0.019265205786111905,2.9283112794890096
South Dakota,11.838601883454547,1.7869587748610638,0.0,0.0,1.7869587748610638
Tennessee,28.8736495404158,4.0285479249537435,0.014336469483821153,0.08601881690292691,4.128903211340492
Texas,43.64340879711186,5.618407324777573,0.0,0.12869166868086063,5.747098993458433
Utah,78.22107715006852,6.590822279975134,0.0,0.05991656618159213,6.6507388461567265
Vermont,39.65487863438511,9.913719658596278,0.0,0.0,9.913719658596278
Virginia,47.63792492577763,6.630199412793438,0.011571028643618565,0.1041392577925671,6.745909699229624
Washington,83.20527551684445,12.172599710648775,0.012922080372238616,0.20675328595581785,12.392275076976832
West Virginia,4.9356154572258815,0.9534711678731816,0.0,0.0,0.9534711678731816
Wisconsin,24.508523538698366,3.6805187597906888,0.0,0.05088274783120768,3.7314015076218965
Wyoming,49.930632702318405,9.502369545423917,0.0,0.5183110661140319,10.02068061153795
Puerto Rico,0.0,0.0,0.0,0.0,0.0
